,Law,Paragraph,Text,Category
0,Resolution 153/2010 by National Civil Aviation  Agency,"Art. 5, sole par","If any competent body on the matter imposes modification of the Airport Master Plan (PDIR), the operator must request a new approval from ANAC.",A4
1,Resolution 153/2010 by National Civil Aviation  Agency,"Art. 5, sole par","If any competent body on the matter imposes modification of the Airport Master Plan (PDIR), the operator must request a new approval from ANAC.",Administrative burden
2,Ministerial Ordinance 93/2020 by Ministry of Infrastructure - Contracts,Art.4,The National Civil Aviation Secretary must authorise lease of airport areas whose term is longer than the airport concession period.,A2
3,Ministerial Ordinance 93/2020 by Ministry of Infrastructure - Contracts,Art. 6,"The commercial contract which involves the use of spaces in the airport and goes beyond the period of the airport concession must meet the following requirements: (i) provision of contractual subrogation to the future operator after the termination of the current concession; (ii) the project must be economically unfeasible in the period of the remaining term of the concession; (iii) the weighted cost of capital for the project must be equal or less than that of the concession (marginal cash flow); (iv) periodic remuneration, in equal or increasing instalments; (v) the penalties for the termination must be decreasing over the term of contract and the corresponding indemnity must correspond to the investments that had not yet been amortized; (vi) the duties of the subrogated party must be the same of the former concessionaire; (vii) the contractor may not be awarded an exclusivity after the term of the current concession; (viii) related parties to the concessionaire must not be a party of the contract; (ix) the period between the termination of the airport concession and the termination of the commercial contract must be: (a) equal to or less than 30 years, if the remaining term of the concession is greater than 10 years or (b) equal to or less than half of the term of the commercial contract, if the remaining term of the concession is equal or less than 10 years.",A3
4,Ministerial Ordinance 93/2020 by Ministry of Infrastructure - Contracts,Art. 7,"The National Civil Aviation Secretary may authorise commercial contracts with even longer terms than those stated in art. 6, item IX, if they are related to the exploitation of operating activities that can only be performed at the airport.",A2
5,Ministerial Ordinance 93/2020 by Ministry of Infrastructure - Contracts,Art. 7,"The National Civil Aviation Secretary may authorise commercial contracts with even longer terms than those stated in art. 6, item IX, if they are related to the exploitation of operating activities that can only be performed at the airport.",A3
6,Ministerial Ordinance 93/2020 by Ministry of Infrastructure - Contracts,Art. 11,"Cases not allowing the maintenance of commercial concession contracts in case of early termination of the airport concession: (i) late payment of the concession fees by the concessionaire; (ii) ongoing termination proceeding, due to a breach by the concessionaire; and (iii) the concessionaire is under judicial recovery or have requested a rebidding proceeding (“relicitação”).",B4
7,Ministerial Ordinance 93/2020 by Ministry of Infrastructure - Contracts,Art. 13,"To maintain the concession commercial contracts in case of early termination of the airport concession, the contracts must meet the following requirements: (i) periodic remuneration, in equal or increasing instalments; (ii) the penalties for the termination must be decreasing over the term of contract; (iii) the duties of the subrogated party must be the same of the former concessionaire; (iv) related parties to the concessionaire must not be a party of the contract; (v) minimum investment values, varying according to the size of the airport.",A3
8,Decree Law  270/1967 - Air Fund,Art. 12,There will be a public tender for leasing airport areas for provision of services to the general public of the airport.,A2
9,INFRAERO's Internal Bidding and Contract Regulation,"Art. 12, item I","In procurement of goods, specific brands may be indicated for technical reasons, in the following cases: (i) due to the need to standardize the object; (ii) when a certain brand or model marketed by more than one supplier is the only one capable of meeting Infraero’s needs; (iii) when the description of the object to be tendered can be better understood by the identification of a certain brand or certain model, only as a reference.",A3
10,INFRAERO's Internal Bidding and Contract Regulation,"Art. 18, par. 2",Infraero may pre-qualify bidders and exclude non-prequalified bidders from bids.,A3
11,INFRAERO's Internal Bidding and Contract Regulation,"Art. 18, par. 2",Infraero may pre-qualify bidders and exclude non-prequalified bidders from bids.,A4
12,INFRAERO's Internal Bidding and Contract Regulation,"Art. 19, par. 16",Foreign companies not operating in Brazil must present the equivalent documents translated by a certified translator and must have a legal representative in Brazil.,A3
13,INFRAERO's Internal Bidding and Contract Regulation,"Art. 19, par. 16",Foreign companies not operating in Brazil must present the equivalent documents translated by a certified translator and must have a legal representative in Brazil.,A4
14,INFRAERO's Internal Bidding and Contract Regulation,"Art. 27, par. 5",The tender notice may exclude non-prequalified bidders from bids.,A3
15,INFRAERO's Internal Bidding and Contract Regulation,"Art. 31, item I","Tender processes may follow the “open method”, under which bidders submit offers publicly and may make supplementary offers.",C2
16,INFRAERO's Internal Bidding and Contract Regulation,"Art. 31, item III","For engineering services, the winning bidder must present the breakdown of prices.",A3
17,INFRAERO's Internal Bidding and Contract Regulation,Art. 49,The duration of commercial concession contracts must be limited to: (i) 120 months (concessions without investments) or (ii) 240 months (concessions with investments).,A3
18,INFRAERO's Internal Bidding and Contract Regulation,Art. 52,"The contract may allow sub-concession of commercial concession contracts, but it must be limited to 50% of the area and aimed at the execution of ancillary services to the main activity of the contract. Infraero must authorize any sub-concession.",A2
