,Law,Text,Category,Category_New,Length
0,No law addresses this issue yet,"Mexico currently has no law regulating which benefits pharmaceutical companies can provide to doctors, such as conference participants, speaker engagements, etc.There is, however, an ethics code issued by CETIFARMA (a subsidiary of CANIFARMA, which regulates and monitors the ethics code), which addresses financial incentives.",D,Others,327
1,No law addresses this issue yet,"This ethics code, however, only applies to CANIFARMA members.",D,Others,61
2,No law addresses this issue yet,"According to the CETIFARMA document, Providing financial incentives of significant value to doctors is forbidden.",D,Others,113
3,No law addresses this issue yet,"Infringement of the code is subject to admonition, pecuniary penalties (no amounts are detailed, though), as weel as temporary or definitive suspension of the rights as a CANIFARMA affiliate.",D,Others,191
4,Reglamento de Insumos para la Salud,"The pharmaceutical retalier registers in a control book or in an automatised system the name, address and professional-licence number of the prescribing physician at the moment whose prescription is retained by the pharmacy. It is unclear what happens to this data and whether they might be sold directly or via specialised companies to pharmaceutical companies.",C,C,362
5,Reglamento de la Ley General de Salud en Materia de Prestacion de Servicios de Atencion Medica,"Precriptions of a medicine by a doctor must contain the doctor's name, the name of the institution that issued his/her professional title, the number of the professional certificate issued by the competent educational authorities, the address of the establishment (e.g. a hospital or a pharmacy), and the date of issue.",C,C,319
6,Acuerdo por el que se determinan los lineamientos a los que estara sujeta la venta y dispensacion de antibioticos.,"For prescriptions of antibiotics, pharmacies must register, among other data, the name of the doctor prescribing the medicine, his or her professional-licence number, and address.",C,C,179
7,Reglamento de Insumos para la Salud,"When prescribing a medicine, doctors can either prescribe the International Nonproprietary Name (INN, defined by the WHO as a unique name that is globally recognised and is public property) or the joint generic and distinctive designation (brand name) (such as salbutamol and ""Ventolin""; ibuprofen and ""Advil""; or paracetamol and :Tylenol"").",D,Others,341
8,Reglamento de Insumos para la Salud,"When doctors prescribe a distinctive denomination, pharmacists must follow the prescription and the medicine can only be replaced if the doctor expressly authorises it.",D,Others,168
9,Reglamento de Insumos para la Salud,"When prescribing a medicine, doctors can either prescribe the International Nonproprietary Name (INN, defined by the WHO as a unique name that is globally recognised and is public property) or the joint generic and distinctive designation (brand name) (such as salbutamol and ""Ventolin""; ibuprofen and ""Advil""; or paracetamol and :Tylenol"").",D,Others,341
10,Reglamento de Insumos para la Salud,"When doctors prescribe a distinctive denomination, pharmacists must follow the prescription and the medicine can only be replaced if the doctor expressly authorises it.",D,Others,168
11,Reglamento de Insumos para la Salud,"Doctors working for public institutions can only prescribe Health generics that are included in the Basic Formulary of Inputs. The Basic Formulary specifies the features a product must have in order to be considered as a public-sector option. This list does not specify manufacturers, but sometimes requires extremely specific features (e.g. alcohol contained in 120ml bottles).",A,A,378
12,"NOM-177-SSA1-2013,Que establece las pruebas y procedimientos para demostrar que un medicamento es intercambiable","According to the General Health Law, to be considered as generic, medicines must be interchangeable with a reference drug, ie.",A,A,126
13,"NOM-177-SSA1-2013,Que establece las pruebas y procedimientos para demostrar que un medicamento es intercambiable",the generics must produce the same therapeutic effect.,A,A,54
14,"NOM-177-SSA1-2013,Que establece las pruebas y procedimientos para demostrar que un medicamento es intercambiable","In order to be considered as an interchangeable medicine the ""percentage of valuation"" of the test medicine must be within the limits stated in the Pharmacopoeia.",A,A,162
15,"NOM-177-SSA1-2013,Que establece las pruebas y procedimientos para demostrar que un medicamento es intercambiable",This difference can only be up to 5% from the reference medicine.,A,A,65
16,"NOM-177-SSA1-2013,Que establece las pruebas y procedimientos para demostrar que un medicamento es intercambiable","The method of determining the 5% threshold, however, is not clearly, described (at least to the lay reader).",A,A,108
17,Reglamento de Insumos para la Salud,"When applying for a sanitary registry, a company needs to prove that it is the holder of the patent of the active substance or alternatively, that no patent will be infringed when producing the medicine in question.",A,A,215
18,Reglamento de Insumos para la Salud,"Once the application is received, COFEPRIS will consult the Mexican Institute of Industrial Property (Instituto Mexicano de la Propiedad Industrial, IMPI) to determine if no patent is infringed.",A,A,194
19,Reglamento de Insumos para la Salud,"This is called ""linkage"".",A,A,25
20,Reglamento de Insumos para la Salud,According to industry participants it is often not clear if the reference medicine is still protected by some patents and which patents are related to the reference medicine This is known as,A,A,190
21,Lineamientos que deberán cumplir los medicamentos alopáticos de referencia y selección de medicamento de referencia internacional. (issued on 25 January 2016),"When a company holding a sanitary registry of a reference medicine decides to withdraw its product from the market, pharmaceutical companies that manufacture the generic version of that medicine are required to seek a reference medicine abroad in any of the seven countries recognised by COFEPRIS (as listed in the guidelines issued on 25 January 2016). According to market participants, producers of reference medicines withdraw them for various reasons, including as a business",A,A,479
