,Law,Text,Category,Category_New,text_clean
0,Ordinance NORMAM 12 by DPC-Pilotage,The minimum number of pilotage runs per semester can never be less than 36 jobs.,A,A,the minimum number of pilotag run per semest can never be le than job
1,"NOM-026-Z00- 1994, Características y especificaciones zoosanitarias para las instalaciones, equipo y operación de establecimientos que fabriquen productos químicos, farmacéuticos y biológicos para uso en animales","Establishments subjected to this norm (I.e. those that manufacture chemical, pharmaceutical and biological products for use in animals) must have an authorised veterinary surgeon, a biological scientist in the production area, and a biological scientist in the quality- control area. This NOM does not explicitly state what tasks are to be performed by each of the scientists.",A,A,establish subject to thi norm i.e those that manufactur chemic pharmaceut and biolog product for use in anim must have an authoris veterinari surgeon a biolog scientist in the product area and a biolog scientist in the quality- control area thi nom doe not explicitli state what task are to be perform by each of the scientist
2,"NOM-059-Z00- 1997, Salud animal. Especificaciones","The norm specifically states that it is not in line with international standards. The norm deals with specifications for transporting animals, their products and subproducts, chemical, pharmaceutical and biological products for animals, as well as animal feed",A,A,the norm specif state that it is not in line with intern standard the norm deal with specif for transport anim their product and subproduct chemic pharmaceut and biolog product for anim a well a anim feed
3,Law 13475/2017 - Aeronaut profession,"Duty period limitations for flight and cabin crew of scheduled or non-scheduled public air transport companies (except air taxi): 
(i) 9 hours (if the operation is conducted with the minimum required flight crew); 
(ii) 12 hours (if the operation is conducted with the minimum required flight crew plus one flight commander, one flight mechanic, if so required, and 25% more flight attendants); 
(iii) 16 hours (if the operation is conducted with the minimum required flight crew plus one flight comm",A,A,duti period limit for flight and cabin crew of schedul or non-schedul public air transport compani except air taxi i hour if the oper is conduct with the minimum requir flight crew ii hour if the oper is conduct with the minimum requir flight crew plu one flight command one flight mechan if so requir and more flight attend iii hour if the oper is conduct with the minimum requir flight crew plu one flight comm
4,Law 7565/1986 - Brazilian Aeronautical Code,"The responsible party that pays the indemnity is exonerated in relation to those who receive it (articles 253 and 281, sole paragraph). Sole paragraph. The discussion between the one who paid and the others responsible for the payment is reserved.",None,None,the respons parti that pay the indemn is exoner in relat to those who receiv it articl and sole paragraph sole paragraph the discus between the one who paid and the other respons for the payment is reserv
5,Law 14133/2021 - New General Procurement Act,"At the discretion of the procurement authority, a performance guarantee (cash bond, insurance or bank guarantee) may be required for the procurement of works, services and supplies (when provided for in the public notice).",A,A,at the discret of the procur author a perform guarante cash bond insur or bank guarante may be requir for the procur of work servic and suppli when provid for in the public notic
6,Law 5862/1972 - Infraero,"The constitutive acts will be preceded by the following providences, under the responsibility of a commission specially designated by the Minister of Aeronautics: I - Enrollment of the assets, rights and shares referred to in the previous article;
II - valuation of the assets, rights, and shares listed;
III - elaboration of the Statutes project;
IV - Plan for gradual absorption of charges;
V - proposal of all other measures necessary for the operation of the company.",None,None,the constitut act will be preced by the follow provid under the respons of a commiss special design by the minist of aeronaut i enrol of the asset right and share refer to in the previou articl ii valuat of the asset right and share list iii elabor of the statut project iv plan for gradual absorpt of charg v propos of all other measur necessari for the oper of the compani
7,Resolution 302/2014 by National Civil Aviation  Agency - Airport Area,"3, item I, of this Resolution by the proportion between the number of passengers handled by the company at the airport and the total number of passengers handled at the airport by all companies, in the period of 6 (six) months prior to the request of the area for exclusive use; III - limit the allocation of areas for exclusive use, specified in art.",None,None,item i of thi resolut by the proport between the number of passeng handl by the compani at the airport and the total number of passeng handl at the airport by all compani in the period of six month prior to the request of the area for exclus use iii limit the alloc of area for exclus use specifi in art
8,Law 7565/1986 - Brazilian Aeronautical Code,"The lessor is obligated I - to deliver to the lessee the aircraft or the engine, at the agreed time and place, with the necessary documentation for the flight, in conditions to serve the use for which one or the other is intended, and to keep them in that condition, for the duration of the contract, unless otherwise expressly agreed; II - to guarantee, for the duration of the contract, the peaceful use of the aircraft or engine.",None,None,the lessor is oblig i to deliv to the lesse the aircraft or the engin at the agre time and place with the necessari document for the flight in condit to serv the use for which one or the other is intend and to keep them in that condit for the durat of the contract unless otherwis expressli agre ii to guarante for the durat of the contract the peac use of the aircraft or engin
9,Regulation (RBAC) 141/2019 by National Civil Aviation Agency – Civil aviation schools,The requirements vary according to the course the school intend to provide.,A,A,the requir vari accord to the cours the school intend to provid
10,Ordinance by Ports Secretariat 111/2013 - Ports Administration,It is a condition for maintaining the Port Operator's Certificate that the port operator is regular with the pool of port workers throughout the validity period of the certification.,A,A,it is a condit for maintain the port oper 's certif that the port oper is regular with the pool of port worker throughout the valid period of the certif
11,Notice of Auction 2/2011 (second round of airport concession),Foreign documents must be authenticated by the Brazilian Consular Office and translated by a certified translator.,A,A,foreign document must be authent by the brazilian consular offic and translat by a certifi translat
12,Notice of Auction 1/2020 (sixth round of airport concession),"Foreign companies, when operating in Brazil, must submit the authorisation for operating in the country (if an authorisation is required for the respective activity).",A,A,foreign compani when oper in brazil must submit the authoris for oper in the countri if an authoris is requir for the respect activ
13,Resolution 18/2006 by National Petroleum Agency - Fuel,Each agency of the firm needs an authorisation from ANP to operate in the aviation fuels retail market. The authorisation must be published in the Official Gazette of the Federal Government Branch.,A,A,each agenc of the firm need an authoris from anp to oper in the aviat fuel retail market the authoris must be publish in the offici gazett of the feder govern branch
14,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,"cal and financial schedule, linked to the application of financial resources in the production of vessel, such as cutting plates and building blocks; at the end of the second year with at least 40% (forty percent) of the production of the built vessel, except for reasons of force majeure recognized by ANTAQ; no accumulated delay, except for reasons of force majeure recognized by ANTAQ, with a variation greater than 20% (twenty percent) of the physical and financial schedule.",AAdministrativeburden,Others,cal and financi schedul link to the applic of financi resourc in the product of vessel such a cut plate and build block at the end of the second year with at least forti percent of the product of the built vessel except for reason of forc majeur recogn by antaq no accumul delay except for reason of forc majeur recogn by antaq with a variat greater than twenti percent of the physic and financi schedul
15,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,"(b) At the end of the second year, with at least 40 per cent (40 per cent) of the production of the built ship, except for the causes of force majeure recognized by ANTAQ;",AAdministrativeburden,Others,b at the end of the second year with at least per cent per cent of the product of the built ship except for the caus of forc majeur recogn by antaq
16,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,", related to the implementation of financial resources in the production of vessels, such as cutting plates and construction elements; at the end of the second year with at least 40% (poor percentage) of the production of the built vessel, except for the reasons for the force recognised by ANTAQ; no delay, except for the reasons for the force recognised by ANTAQ, with a deviation of more than 20% (twenty per cent) from the physical and financial timetable.",AAdministrativeburden,Others,relat to the implement of financi resourc in the product of vessel such a cut plate and construct element at the end of the second year with at least poor percentag of the product of the built vessel except for the reason for the forc recognis by antaq no delay except for the reason for the forc recognis by antaq with a deviat of more than twenti per cent from the physic and financi timet
17,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,"at the end of the second year with at least 40% (ty percent) of the production of the built-up vessel, with the exception of the force majeure recognised by ANTAQ; no accumulated delay, except for reasons of force majeure recognised by ANTAQ, with a deviation of more than 20% (twenty percent) of the physical and financial timetable.",AAdministrativeburden,Others,at the end of the second year with at least ty percent of the product of the built-up vessel with the except of the forc majeur recognis by antaq no accumul delay except for reason of forc majeur recognis by antaq with a deviat of more than twenti percent of the physic and financi timet
18,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,"There is no accumulated delay, except due to force majeure recognised by ANTAQ, with a variation of more than 20% (wenty percent) of the physical and financial schedule.",AAdministrativeburden,Others,there is no accumul delay except due to forc majeur recognis by antaq with a variat of more than wenti percent of the physic and financi schedul
19,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,"• a financial and financial schedule relating to the use of financial resources in the production of ships, such as cutting plates and building blocks; at the end of the second year at least 40% (forty per cent) of the production of the built vessel, except for force majeure recognised by ANTAQ; no cumulative delay, except for force majeure recognised by ANTAQ, with a variation of more than 20% (20 per cent) of the physical and financial schedule.",AAdministrativeburden,Others,• a financi and financi schedul relat to the use of financi resourc in the product of ship such a cut plate and build block at the end of the second year at least forti per cent of the product of the built vessel except for forc majeur recognis by antaq no cumul delay except for forc majeur recognis by antaq with a variat of more than per cent of the physic and financi schedul
