,Main,Sub,Text,length,text_clean
0,A,A,"Limiting the number of suppliers leads to the risk that market power will be created and competitive rivalry will be reduced. When the number of suppliers declines, the possibility of diminished competition (or collusion) among remaining suppliers increases, and the ability of individual suppliers to raise prices can be increased. The resulting decline in rivalry can reduce incentives to meet consumer demands effectively and can reduce innovation and long-term economic efficiency. While there may be sound reasons for policy makers to limit the number or range of suppliers the benefits of entry limits need to be carefully balanced against the fact that ease of entry by new suppliers can help prevent existing suppliers from exercising market power or colluding.",118,limit the number of supplier lead to the risk that market power will be creat and competit rivalri will be reduc when the number of supplier declin the possibl of diminish competit or collus among remain supplier increas and the abil of individu supplier to rais price can be increas the result declin in rivalri can reduc incent to meet consum demand effect and can reduc innov and long-term econom effici while there may be sound reason for polici maker to limit the number or rang of supplier the benefit of entri limit need to be care balanc against the fact that ea of entri by new supplier can help prevent exist supplier from exercis market power or collud
1,A,A1,"Granting an exclusive right to produce a certain good, or provide a certain service, represents the establishment of a private monopoly. Historically, the grant of an exclusive right occurred frequently in the context of a ‚Äúnatural monopoly‚Äù.s Exclusive rights, particularly if granted for a long duration, have frequently been considered as a means of encouraging substantial investment in infrastructure that might not occur without the incentive of a guaranteed market that an exclusive right provides. But exclusive rights are sometimes used in situations where the natural monopoly justification for them does not apply. Exclusive rights are, in many respects, the ultimate entry barrier and are likely to yield monopoly pricing and other problems associated with the exercise of market power. Regulation does not always prevent these outcomes because regulators often fail (or have limited success) in the restriction of market power and protection of consumers. Therefore, such rights should be limited and only established after careful consideration of prices to be charged, duration of rights, and alternative ways to achieve the same objectives.",172,grant an exclus right to produc a certain good or provid a certain servic repres the establish of a privat monopoli histor the grant of an exclus right occur frequent in the context of a ‚äúnatur monopoly‚äù. exclus right particularli if grant for a long durat have frequent been consid a a mean of encourag substanti invest in infrastructur that might not occur without the incent of a guarante market that an exclus right provid but exclus right are sometim use in situat where the natur monopoli justif for them doe not appli exclus right are in mani respect the ultim entri barrier and are like to yield monopoli price and other problem associ with the exercis of market power regul doe not alway prevent these outcom becaus regul often fail or have limit success in the restrict of market power and protect of consum therefor such right should be limit and onli establish after care consider of price to be charg durat of right and altern way to achiev the same object
2,A,A2,"Licenses or permits required for operation necessarily restrict entry. Qualification requirements can take the form of minimum standards for formal education and/or experience and may include good character requirements. For example, in the finance industry, before participation in an official capacity at company and board level is permitted, so-called ‚Äúfit-and-proper‚Äù tests are often required. In other industries, potential entrants are sometimes required to take a test to demonstrate the need for an additional service to be provided and, in some cases, to show that their entry would not have a negative impact on existing industry businesses. In extreme cases, there may be a fixed numbers of licensees. License or permit requirements are often stricter than needed for consumer protection and can reduce consumer choice unnecessarily or create artificial scarcity that raises prices. While licensing schemes often have well- founded consumer protection objectives, such barriers frequently have the effect of protecting incumbent producers from competition. Care needs to be taken that license and permit requirements do not become more onerous than necessary to achieve the desired regulatory objectives.",176,licens or permit requir for oper necessarili restrict entri qualif requir can take the form of minimum standard for formal educ and/or experi and may includ good charact requir for exampl in the financ industri befor particip in an offici capac at compani and board level is permit so-cal ‚äúfit-and-proper‚äù test are often requir in other industri potenti entrant are sometim requir to take a test to demonstr the need for an addit servic to be provid and in some case to show that their entri would not have a neg impact on exist industri busi in extrem case there may be a fix number of license licens or permit requir are often stricter than need for consum protect and can reduc consum choic unnecessarili or creat artifici scarciti that rais price while licens scheme often have well- found consum protect object such barrier frequent have the effect of protect incumb produc from competit care need to be taken that licens and permit requir do not becom more oner than necessari to achiev the desir regulatori object
3,A,A3,"Governments can limit the ability of certain suppliers to participate in a business activity. For example, some governments require all real estate brokers to provide a government-mandated set of services, which limits or prohibits low-cost minimum-service brokers, or fee-for-service brokers, from providing services. Such restrictions are often excessive because they unduly restrict the number of suppliers, reduce competition between suppliers and result in higher prices or less desirable contract terms for customers.",71,govern can limit the abil of certain supplier to particip in a busi activ for exampl some govern requir all real estat broker to provid a government-mand set of servic which limit or prohibit low-cost minimum-servic broker or fee-for-servic broker from provid servic such restrict are often excess becaus they unduli restrict the number of supplier reduc competit between supplier and result in higher price or le desir contract term for custom
4,A,A4,"Regulations that raise the cost of entry to, or exit from, a market will tend to discourage potential entrants thus reducing the number of participants in the market over time. Examples of this type of regulation include: rigorous product testing requirements, and unnecessarily high educational or technical qualifications to be met. In the case of the digital economy, physical presence, minimum scale and inspection rules can unduly obstruct entry. Governments sometimes act to minimise the negative competitive impacts of such provisions by providing targeted exemptions. For example, low-volume car manufacturers are often exempt from aspects of vehicle testing regulations, or subject to less onerous testing protocols. To enable better informed consumer choices, alternatives such as providing more information or product disclosure requirements could be considered. In some cases, regulation may be required, even though it could raise entry costs. The focus should be on minimising anti-competitive potential by ensuring that",149,regul that rais the cost of entri to or exit from a market will tend to discourag potenti entrant thu reduc the number of particip in the market over time exampl of thi type of regul includ rigor product test requir and unnecessarili high educ or technic qualif to be met in the case of the digit economi physic presenc minimum scale and inspect rule can unduli obstruct entri govern sometim act to minimis the neg competit impact of such provis by provid target exempt for exampl low-volum car manufactur are often exempt from aspect of vehicl test regul or subject to le oner test protocol to enabl better inform consum choic altern such a provid more inform or product disclosur requir could be consid in some case regul may be requir even though it could rais entri cost the focu should be on minimis anti-competit potenti by ensur that
5,A,A5,"Regulations sometimes limit the flow of goods, services, capital and/or labour across jurisdictional boundaries, often as an instrument of regional policy. Such limitations, however, artificially reduce the geographic area of competition for provision of a good or service. This may reduce the number of suppliers and potentially allow suppliers to exercise market power and increase prices. Potential restrictions should be assessed on the following questions: Is there a clear link between the restrictions and achievement of specific policy goals?; Are restrictions the minimum necessary for achievement of the goal?; Does a reasoned analysis suggest that the policy goal will be achieved by means of the restriction?; Are restrictions limited to a finite time span through explicit regulatory provisions? There is a substantial risk of ‚Äútemporary‚Äù protection developing into a quasi-permanent arrangement as a result of substantial lobbying by suppliers benefitting from the restrictions.",142,regul sometim limit the flow of good servic capit and/or labour across jurisdict boundari often a an instrument of region polici such limit howev artifici reduc the geograph area of competit for provis of a good or servic thi may reduc the number of supplier and potenti allow supplier to exercis market power and increas price potenti restrict should be ass on the follow question is there a clear link between the restrict and achiev of specif polici goal are restrict the minimum necessari for achiev of the goal doe a reason analysi suggest that the polici goal will be achiev by mean of the restrict are restrict limit to a finit time span through explicit regulatori provis there is a substanti risk of ‚äútemporary‚äù protect develop into a quasi-perman arrang a a result of substanti lobbi by supplier benefit from the restrict
6,B,B,"Regulation can affect a supplier's ability to compete in a variety of ways, including: advertising and marketing restrictions; standard setting for products or service quality; and price control of goods or services. These limits can reduce the intensity and dimensions of rivalry, yielding higher prices for consumers and less product variety.",50,regul can affect a supplier 's abil to compet in a varieti of way includ advertis and market restrict standard set for product or servic qualiti and price control of good or servic these limit can reduc the intens and dimens of rivalri yield higher price for consum and le product varieti
7,B,B1,"Governments often regulate prices in traditional monopoly sectors, such as utilities. These types of price control are probably helpful to consumers and serve as a counterweight to a lack of consumer alternatives. However, price controls are also sometimes applied in situations where there are many potential suppliers for the same consumer. When minimum prices are set, low-cost suppliers who provide better value to consumers are prevented from winning market share. Similarly, when maximum prices are set, supplier incentives to innovate by providing new and/or high-quality products can be substantially reduced, and suppliers may effectively co-ordinate their prices around the maximum price. Minimum price regulation is sometimes a response to extremely vigorous price competition. In these cases, minimum price regulation is generally seen as a means of protecting small suppliers from ‚Äúunfair‚Äù competition. The impacts of such price regulation merit careful evaluation because the result is likely to be higher prices for consumers or unmet demand. Maximum price regulations are frequently introduced as a necessary corollary to entry restrictions. An alternative is to permit freer entry to the market.",177,govern often regul price in tradit monopoli sector such a util these type of price control are probabl help to consum and serv a a counterweight to a lack of consum altern howev price control are also sometim appli in situat where there are mani potenti supplier for the same consum when minimum price are set low-cost supplier who provid better valu to consum are prevent from win market share similarli when maximum price are set supplier incent to innov by provid new and/or high-qual product can be substanti reduc and supplier may effect co-ordin their price around the maximum price minimum price regul is sometim a respons to extrem vigor price competit in these case minimum price regul is gener seen a a mean of protect small supplier from ‚äúunfair‚äù competit the impact of such price regul merit care evalu becaus the result is like to be higher price for consum or unmet demand maximum price regul are frequent introduc a a necessari corollari to entri restrict an altern is to permit freer entri to the market
8,B,B2,"Regulations that restrict supplier's ability to advertise or market goods and services often exist to limit false or misleading advertising. Sometimes restrictions are intended to reduce advertising for products or services that are deemed to have a socially negative value or that are subject to excess consumption. At other times, advertising to certain vulnerable  groups, such as children, may be restricted. Restrictions of this nature, when circumscribed to ensure they are not overly broad, can have significant social benefits. In many cases, however, advertising and marketing restrictions are too broad and unduly restrict competition. Restrictions on advertising and marketing are likely to be particularly onerous for potential entrants, as they restrict an entrant‚Äôs ability to inform potential customers of their presence in the market and of the nature and quality of the goods and services that they are able to offer.",140,regul that restrict supplier 's abil to advertis or market good and servic often exist to limit fals or mislead advertis sometim restrict are intend to reduc advertis for product or servic that are deem to have a social neg valu or that are subject to excess consumpt at other time advertis to certain vulner group such a child may be restrict restrict of thi natur when circumscrib to ensur they are not overli broad can have signific social benefit in mani case howev advertis and market restrict are too broad and unduli restrict competit restrict on advertis and market are like to be particularli oner for potenti entrant a they restrict an entrant‚äô abil to inform potenti custom of their presenc in the market and of the natur and qualiti of the good and servic that they are abl to offer
9,B,B3,"Regulations setting standards often provide benefits to consumers and can help to promote new types of products by ensuring that new products from different suppliers are compatible. But standard setting can also provide undue advantages to some suppliers over others. One common example is environmental regulations that limit the allowable emissions of a mildly toxic substance. While limiting emissions is often appropriate to protect public health, regulations can be designed in ways that unfairly advantage a small number of suppliers, for instance, by requiring a particular technology or by setting unduly strict standards that are difficult, or impossible, for less well- resourced producers to meet. Another example where standard-setting can have asignificant anti-competitive impact is when minimum quality standards are set for particular product types. There are often sound objectives underlying such standard-setting, such as consumer protection from risks associated with the use of the product. However, when some consumers prefer lower cost over increased safety, the need for the standard is less clear. Consumer welfare can be reduced by such standards as consumers are prevented from buying cheaper, lower quality goods that they might prefer, even when fully informed of all associated risks.",193,regul set standard often provid benefit to consum and can help to promot new type of product by ensur that new product from differ supplier are compat but standard set can also provid undu advantag to some supplier over other one common exampl is environment regul that limit the allow emiss of a mildli toxic substanc while limit emiss is often appropri to protect public health regul can be design in way that unfairli advantag a small number of supplier for instanc by requir a particular technolog or by set unduli strict standard that are difficult or imposs for le well- resourc produc to meet anoth exampl where standard-set can have asignific anti-competit impact is when minimum qualiti standard are set for particular product type there are often sound object underli such standard-set such a consum protect from risk associ with the use of the product howev when some consum prefer lower cost over increas safeti the need for the standard is le clear consum welfar can be reduc by such standard a consum are prevent from buy cheaper lower qualiti good that they might prefer even when fulli inform of all associ risk
