,Law,Text,Category,text_clean,Category_New,x,y
0,No law addresses this issue yet,"Mexico currently has no law regulating which benefits pharmaceutical companies can provide to doctors, such as conference participants, speaker engagements, etc.There is, however, an ethics code issued by CETIFARMA (a subsidiary of CANIFARMA, which regulates and monitors the ethics code), which addresses financial incentives. This ethics code, however, only applies to CANIFARMA members. 
According to the CETIFARMA document, Providing financial incentives of significant value to doctors is forbidden. Infringement of the code is subject to admonition, pecuniary penalties (no amounts are detailed, though), as weel as temporary or definitive suspension of the rights as a CANIFARMA affiliate.                                                        ",D,mexico current ha no law regul which benefit pharmaceut compani can provid to doctor such a confer particip speaker engag etc.ther is howev an ethic code issu by cetifarma a subsidiari of canifarma which regul and monitor the ethic code which address financi incent thi ethic code howev onli appli to canifarma member accord to the cetifarma document provid financi incent of signific valu to doctor is forbidden infring of the code is subject to admonit pecuniari penalti no amount are detail though a weel a temporari or definit suspens of the right a a canifarma affili,Others,0.38250732,-0.6086337
1,Reglamento de Insumos para la Salud,"The pharmaceutical retalier registers in a control book or in an automatised system the name, address and professional-licence number of the prescribing physician at the moment whose prescription is retained by the pharmacy. It is unclear what happens to this data and whether they might be sold directly or via specialised companies to pharmaceutical companies.",C,the pharmaceut retali regist in a control book or in an automatis system the name address and professional-lic number of the prescrib physician at the moment whose prescript is retain by the pharmaci it is unclear what happen to thi data and whether they might be sold directli or via specialis compani to pharmaceut compani,C,-0.79021555,2.5925868
2,Reglamento de la Ley General de Salud en Materia de Prestacion de Servicios de Atencion Medica,"Precriptions of a medicine by a doctor must contain the doctor's name, the name of the institution that issued his/her professional title, the number of the professional certificate issued by the competent educational authorities, the address of the establishment (e.g. a hospital or a pharmacy), and the date of issue.",C,precript of a medicin by a doctor must contain the doctor 's name the name of the institut that issu his/her profession titl the number of the profession certif issu by the compet educ author the address of the establish e.g a hospit or a pharmaci and the date of issu,C,0.8884914,0.33813256
3,Acuerdo por el que se determinan los lineamientos a los que estara sujeta la venta y dispensacion de antibioticos.,"For prescriptions of antibiotics, pharmacies must register, among other data, the name of the doctor prescribing the medicine, his or her professional-licence number, and address.",C,for prescript of antibiot pharmaci must regist among other data the name of the doctor prescrib the medicin hi or her professional-lic number and address,C,0.95902944,0.298471
4,Reglamento de Insumos para la Salud,"When prescribing a medicine, doctors can either prescribe the International Nonproprietary Name (INN, defined by the WHO as a unique name that is globally recognised and is public property) or the joint generic and distinctive designation (brand name) (such as salbutamol and ""Ventolin""; ibuprofen and ""Advil""; or paracetamol and :Tylenol""). When doctors prescribe a distinctive denomination, pharmacists must follow the prescription and the medicine can only be replaced if the doctor expressly authorises it.",D,when prescrib a medicin doctor can either prescrib the intern nonproprietari name inn defin by the who a a uniqu name that is global recognis and is public properti or the joint gener and distinct design brand name such a salbutamol and `` ventolin `` ibuprofen and `` advil `` or paracetamol and tylenol `` when doctor prescrib a distinct denomin pharmacist must follow the prescript and the medicin can onli be replac if the doctor expressli authoris it,Others,1.0167937,0.33953872
5,Reglamento de Insumos para la Salud,"When prescribing a medicine, doctors can either prescribe the International Nonproprietary Name (INN, defined by the WHO as a unique name that is globally recognised and is public property) or the joint generic and distinctive designation (brand name) (such as salbutamol and ""Ventolin""; ibuprofen and ""Advil""; or paracetamol and :Tylenol""). When doctors prescribe a distinctive denomination, pharmacists must follow the prescription and the medicine can only be replaced if the doctor expressly authorises it.",D,when prescrib a medicin doctor can either prescrib the intern nonproprietari name inn defin by the who a a uniqu name that is global recognis and is public properti or the joint gener and distinct design brand name such a salbutamol and `` ventolin `` ibuprofen and `` advil `` or paracetamol and tylenol `` when doctor prescrib a distinct denomin pharmacist must follow the prescript and the medicin can onli be replac if the doctor expressli authoris it,Others,1.0071636,0.21590033
6,Reglamento de Insumos para la Salud,"Doctors working for public institutions can only prescribe Health generics that are included in the Basic Formulary of Inputs. The Basic Formulary specifies the features a product must have in order to be considered as a public-sector option. This list does not specify manufacturers, but sometimes requires extremely specific features (e.g. alcohol contained in 120ml bottles).",A,doctor work for public institut can onli prescrib health gener that are includ in the basic formulari of input the basic formulari specifi the featur a product must have in order to be consid a a public-sector option thi list doe not specifi manufactur but sometim requir extrem specif featur e.g alcohol contain in 120ml bottl,A,0.84528136,0.2947574
7,"NOM-177-SSA1-2013,Que establece las pruebas y procedimientos para demostrar que un medicamento es intercambiable","According to the General Health Law, to be considered as generic, medicines must be interchangeable with a reference drug, ie. the generics must produce the same therapeutic effect. In order to be considered as an interchangeable medicine the ""percentage of valuation"" of the test medicine must be within the limits stated in the Pharmacopoeia. This difference can only be up to 5% from the reference medicine. The method of determining the 5% threshold, however, is not clearly, described (at least to the lay reader).",A,accord to the gener health law to be consid a gener medicin must be interchang with a refer drug ie the gener must produc the same therapeut effect in order to be consid a an interchang medicin the `` percentag of valuat `` of the test medicin must be within the limit state in the pharmacopoeia thi differ can onli be up to from the refer medicin the method of determin the threshold howev is not clearli describ at least to the lay reader,A,0.026824435,1.6854774
8,Reglamento de Insumos para la Salud,"When applying for a sanitary registry, a company needs to prove that it is the holder of the patent of the active substance or alternatively, that no patent will be infringed when producing the medicine in question. Once the application is received, COFEPRIS will consult the Mexican Institute of Industrial Property (Instituto Mexicano de la Propiedad Industrial, IMPI) to determine if no patent is infringed. This is called ""linkage"". According to industry participants it is often not clear if the reference medicine is still protected by some patents and which patents are related to the reference medicine This is known as",A,when appli for a sanitari registri a compani need to prove that it is the holder of the patent of the activ substanc or altern that no patent will be infring when produc the medicin in question onc the applic is receiv cofepri will consult the mexican institut of industri properti instituto mexicano de la propiedad industri impi to determin if no patent is infring thi is call `` linkag `` accord to industri particip it is often not clear if the refer medicin is still protect by some patent and which patent are relat to the refer medicin thi is known a,A,0.47498366,1.0723028
9,Lineamientos que deberán cumplir los medicamentos alopáticos de referencia y selección de medicamento de referencia internacional. (issued on 25 January 2016),"When a company holding a sanitary registry of a reference medicine decides to withdraw its product from the market, pharmaceutical companies that manufacture the generic version of that medicine are required to seek a reference medicine abroad in any of the seven countries recognised by COFEPRIS (as listed in the guidelines issued on 25 January 2016). According to market participants, producers of reference medicines withdraw them for various reasons, including as a business",A,when a compani hold a sanitari registri of a refer medicin decid to withdraw it product from the market pharmaceut compani that manufactur the gener version of that medicin are requir to seek a refer medicin abroad in ani of the seven countri recognis by cofepri a list in the guidelin issu on januari accord to market particip produc of refer medicin withdraw them for variou reason includ a a busi,A,0.46764344,0.62761515
