,Law,Text,Category,text_clean,Category_New,A,B,C,Others
0,Resolution 153/2010 by National Civil Aviation  Agency,"If any competent body on the matter imposes modification of the Airport Master Plan (PDIR), the operator must request a new approval from ANAC.",A,if ani compet bodi on the matter impos modif of the airport master plan pdir the oper must request a new approv from anac,A,0.9014251113547136,0.8920057128986427,0.893792079397983,0.8987954930347198
1,Resolution 153/2010 by National Civil Aviation  Agency,"If any competent body on the matter imposes modification of the Airport Master Plan (PDIR), the operator must request a new approval from ANAC.",Administrativeburden,if ani compet bodi on the matter impos modif of the airport master plan pdir the oper must request a new approv from anac,Others,0.9014251113547136,0.8920057128986427,0.893792079397983,0.8987954930347198
2,Ministerial Ordinance 93/2020 by Ministry of Infrastructure - Contracts,The National Civil Aviation Secretary must authorise lease of airport areas whose term is longer than the airport concession period.,A,the nation civil aviat secretari must authoris lea of airport area whose term is longer than the airport concess period,A,0.9270952381828812,0.9211299449323699,0.915148602397025,0.9130621850718534
3,Ministerial Ordinance 93/2020 by Ministry of Infrastructure - Contracts,"The commercial contract which involves the use of spaces in the airport and goes beyond the period of the airport concession must meet the following requirements: (i) provision of contractual subrogation to the future operator after the termination of the current concession; (ii) the project must be economically unfeasible in the period of the remaining term of the concession; (iii) the weighted cost of capital for the project must be equal or less than that of the concession (marginal cash flow); (iv) periodic remuneration, in equal or increasing instalments; (v) the penalties for the termination must be decreasing over the term of contract and the corresponding indemnity must correspond to the investments that had not yet been amortized; (vi) the duties of the subrogated party must be the same of the former concessionaire; (vii) the contractor may not be awarded an exclusivity after the term of the current concession; (viii) related parties to the concessionaire must not be a party of the contract; (ix) the period between the termination of the airport concession and the termination of the commercial contract must be: (a) equal to or less than 30 years, if the remaining term of the concession is greater than 10 years or (b) equal to or less than half of the term of the commercial contract, if the remaining term of the concession is equal or less than 10 years.",A,the commerci contract which involv the use of space in the airport and goe beyond the period of the airport concess must meet the follow requir i provis of contractu subrog to the futur oper after the termin of the current concess ii the project must be econom unfeas in the period of the remain term of the concess iii the weight cost of capit for the project must be equal or le than that of the concess margin cash flow iv period remuner in equal or increas instal v the penalti for the termin must be decreas over the term of contract and the correspond indemn must correspond to the invest that had not yet been amort vi the duti of the subrog parti must be the same of the former concessionair vii the contractor may not be award an exclus after the term of the current concess viii relat parti to the concessionair must not be a parti of the contract ix the period between the termin of the airport concess and the termin of the commerci contract must be a equal to or le than year if the remain term of the concess is greater than year or b equal to or le than half of the term of the commerci contract if the remain term of the concess is equal or le than year,A,0.9698018725762363,0.9639330954823873,0.9582045955794243,0.9576376771296581
4,Ministerial Ordinance 93/2020 by Ministry of Infrastructure - Contracts,"The National Civil Aviation Secretary may authorise commercial contracts with even longer terms than those stated in art. 6, item IX, if they are related to the exploitation of operating activities that can only be performed at the airport.",A,the nation civil aviat secretari may authoris commerci contract with even longer term than those state in art item ix if they are relat to the exploit of oper activ that can onli be perform at the airport,A,0.9730000233583362,0.971173080219561,0.9660048403840504,0.9674645060366076
5,Ministerial Ordinance 93/2020 by Ministry of Infrastructure - Contracts,"The National Civil Aviation Secretary may authorise commercial contracts with even longer terms than those stated in art. 6, item IX, if they are related to the exploitation of operating activities that can only be performed at the airport.",A,the nation civil aviat secretari may authoris commerci contract with even longer term than those state in art item ix if they are relat to the exploit of oper activ that can onli be perform at the airport,A,0.9730000233583362,0.971173080219561,0.9660048403840504,0.9674645060366076
6,Ministerial Ordinance 93/2020 by Ministry of Infrastructure - Contracts,"Cases not allowing the maintenance of commercial concession contracts in case of early termination of the airport concession: (i) late payment of the concession fees by the concessionaire; (ii) ongoing termination proceeding, due to a breach by the concessionaire; and (iii) the concessionaire is under judicial recovery or have requested a rebidding proceeding (“relicitação”).",B,case not allow the mainten of commerci concess contract in case of earli termin of the airport concess i late payment of the concess fee by the concessionair ii ongo termin proceed due to a breach by the concessionair and iii the concessionair is under judici recoveri or have request a rebid proceed “ relicitação ”,B,0.9219479117407339,0.9116639491590244,0.9101066903140811,0.9164411868327779
7,Ministerial Ordinance 93/2020 by Ministry of Infrastructure - Contracts,"To maintain the concession commercial contracts in case of early termination of the airport concession, the contracts must meet the following requirements: (i) periodic remuneration, in equal or increasing instalments; (ii) the penalties for the termination must be decreasing over the term of contract; (iii) the duties of the subrogated party must be the same of the former concessionaire; (iv) related parties to the concessionaire must not be a party of the contract; (v) minimum investment values, varying according to the size of the airport.",A,to maintain the concess commerci contract in case of earli termin of the airport concess the contract must meet the follow requir i period remuner in equal or increas instal ii the penalti for the termin must be decreas over the term of contract iii the duti of the subrog parti must be the same of the former concessionair iv relat parti to the concessionair must not be a parti of the contract v minimum invest valu vari accord to the size of the airport,A,0.9547881394606661,0.9497243110924292,0.9465167191687623,0.9431015618077436
8,Decree Law  270/1967 - Air Fund,There will be a public tender for leasing airport areas for provision of services to the general public of the airport.,A,there will be a public tender for lea airport area for provis of servic to the gener public of the airport,A,0.8899259939919344,0.8866151035349117,0.8774600527229091,0.8831169923593508
9,INFRAERO's Internal Bidding and Contract Regulation,"In procurement of goods, specific brands may be indicated for technical reasons, in the following cases: (i) due to the need to standardize the object; (ii) when a certain brand or model marketed by more than one supplier is the only one capable of meeting Infraero’s needs; (iii) when the description of the object to be tendered can be better understood by the identification of a certain brand or certain model, only as a reference.",A,in procur of good specif brand may be indic for technic reason in the follow case i due to the need to standard the object ii when a certain brand or model market by more than one supplier is the onli one capabl of meet infraero ’ s need iii when the descript of the object to be tender can be better understood by the identif of a certain brand or certain model onli a a refer,A,0.9665000417631833,0.9687137486683637,0.960861068956401,0.964619415213392
10,INFRAERO's Internal Bidding and Contract Regulation,Infraero may pre-qualify bidders and exclude non-prequalified bidders from bids.,A,infraero may pre-qualifi bidder and exclud non-prequalifi bidder from bid,A,0.7752879618072427,0.7711582453019472,0.7775632838015698,0.7816239415193076
11,INFRAERO's Internal Bidding and Contract Regulation,Infraero may pre-qualify bidders and exclude non-prequalified bidders from bids.,A,infraero may pre-qualifi bidder and exclud non-prequalifi bidder from bid,A,0.7752879618072427,0.7711582453019472,0.7775632838015698,0.7816239415193076
12,INFRAERO's Internal Bidding and Contract Regulation,Foreign companies not operating in Brazil must present the equivalent documents translated by a certified translator and must have a legal representative in Brazil.,A,foreign compani not oper in brazil must present the equival document translat by a certifi translat and must have a legal repres in brazil,A,0.9281417298269223,0.9229512884640265,0.931969523812558,0.9203857153224044
13,INFRAERO's Internal Bidding and Contract Regulation,Foreign companies not operating in Brazil must present the equivalent documents translated by a certified translator and must have a legal representative in Brazil.,A,foreign compani not oper in brazil must present the equival document translat by a certifi translat and must have a legal repres in brazil,A,0.9281417298269223,0.9229512884640265,0.931969523812558,0.9203857153224044
14,INFRAERO's Internal Bidding and Contract Regulation,The tender notice may exclude non-prequalified bidders from bids.,A,the tender notic may exclud non-prequalifi bidder from bid,A,0.8246525096225839,0.8219414537848813,0.8261859052396343,0.8296272454530031
15,INFRAERO's Internal Bidding and Contract Regulation,"Tender processes may follow the “open method”, under which bidders submit offers publicly and may make supplementary offers.",C,tender process may follow the “ open method ” under which bidder submit offer publicli and may make supplementari offer,C,0.9235189036363018,0.9223477389697231,0.9211294602587285,0.9294236593269001
16,INFRAERO's Internal Bidding and Contract Regulation,"For engineering services, the winning bidder must present the breakdown of prices.",A,for engin servic the win bidder must present the breakdown of price,A,0.8614727087065168,0.8583726037199549,0.8556180999625934,0.8612948536527887
17,INFRAERO's Internal Bidding and Contract Regulation,The duration of commercial concession contracts must be limited to: (i) 120 months (concessions without investments) or (ii) 240 months (concessions with investments).,A,the durat of commerci concess contract must be limit to i month concess without invest or ii month concess with invest,A,0.9323853668962319,0.9325994252887593,0.9305669868093023,0.9381189176143114
18,INFRAERO's Internal Bidding and Contract Regulation,"The contract may allow sub-concession of commercial concession contracts, but it must be limited to 50% of the area and aimed at the execution of ancillary services to the main activity of the contract. Infraero must authorize any sub-concession.",A,the contract may allow sub-concess of commerci concess contract but it must be limit to of the area and aim at the execut of ancillari servic to the main activ of the contract infraero must author ani sub-concess,A,0.9428284020384134,0.9379166373424304,0.9357115004653029,0.932387245735863
19,INFRAERO's Internal Bidding and Contract Regulation,"Situations in which contracts may be directly awarded: (i) sale or provision of goods or services comprising the corporate purpose of the SOE; (ii) choice of the private partner involves specific characteristics, preventing a competitive procedure.",A,situat in which contract may be directli award i sale or provis of good or servic compris the corpor purpos of the soe ii choic of the privat partner involv specif characterist prevent a competit procedur,A,0.8961071636530434,0.8851297924034738,0.8876635062212419,0.885675802666602
20,INFRAERO's Internal Bidding and Contract Regulation,"Situations in which contracts may be directly awarded: 19 different cases, among which: (i) low-value contracts: (a) contracts comprising engineering works and services, up to BRL 100 000 (around EUR 15 500); and (b) contracts comprising other services, purchases and sells, up to BRL 50 000 (around EUR 7 700); (ii) when the bidding procedure fails (no bid submissions) and it is not possible to open a new public tender; (iii) when the bid values are higher than the market price; (iv) emergency situations; and (v) lease of airport operating areas by air carriers, for their dispatch, office, workshop and deposit facilities, or for shelter, repair and fuelling of aircraft.",A,situat in which contract may be directli award differ case among which i low-valu contract a contract compris engin work and servic up to brl around eur and b contract compris other servic purchas and sell up to brl around eur ii when the bid procedur fail no bid submiss and it is not possibl to open a new public tender iii when the bid valu are higher than the market price iv emerg situat and v lea of airport oper area by air carrier for their dispatch offic workshop and deposit facil or for shelter repair and fuell of aircraft,A,0.9484627563448822,0.9530886742849074,0.946236993134093,0.9517278964854035
