,Law,Text,Category,Category_New,text_clean,A,B,C,Others
0,Ordinance NORMAM 12 by DPC-Pilotage,The minimum number of pilotage runs per semester can never be less than 36 jobs.,A,A,the minimum number of pilotag run per semest can never be le than job,0.5806146557538612,0.6174837550433835,0.5853785063879943,0.6665144146161791
1,"NOM-026-Z00- 1994, Características y especificaciones zoosanitarias para las instalaciones, equipo y operación de establecimientos que fabriquen productos químicos, farmacéuticos y biológicos para uso en animales","Establishments subjected to this norm (I.e. those that manufacture chemical, pharmaceutical and biological products for use in animals) must have an authorised veterinary surgeon, a biological scientist in the production area, and a biological scientist in the quality- control area. This NOM does not explicitly state what tasks are to be performed by each of the scientists.",A,A,establish subject to thi norm i.e those that manufactur chemic pharmaceut and biolog product for use in anim must have an authoris veterinari surgeon a biolog scientist in the product area and a biolog scientist in the quality- control area thi nom doe not explicitli state what task are to be perform by each of the scientist,0.6704248034535644,0.7166268963799407,0.7167238590940253,0.6684620679995277
2,"NOM-059-Z00- 1997, Salud animal. Especificaciones","The norm specifically states that it is not in line with international standards. The norm deals with specifications for transporting animals, their products and subproducts, chemical, pharmaceutical and biological products for animals, as well as animal feed",A,A,the norm specif state that it is not in line with intern standard the norm deal with specif for transport anim their product and subproduct chemic pharmaceut and biolog product for anim a well a anim feed,0.6844192445262939,0.7381278028614429,0.7295821058261416,0.7047572769586042
3,Law 13475/2017 - Aeronaut profession,"Duty period limitations for flight and cabin crew of scheduled or non-scheduled public air transport companies (except air taxi): 
(i) 9 hours (if the operation is conducted with the minimum required flight crew); 
(ii) 12 hours (if the operation is conducted with the minimum required flight crew plus one flight commander, one flight mechanic, if so required, and 25% more flight attendants); 
(iii) 16 hours (if the operation is conducted with the minimum required flight crew plus one flight comm",A,A,duti period limit for flight and cabin crew of schedul or non-schedul public air transport compani except air taxi i hour if the oper is conduct with the minimum requir flight crew ii hour if the oper is conduct with the minimum requir flight crew plu one flight command one flight mechan if so requir and more flight attend iii hour if the oper is conduct with the minimum requir flight crew plu one flight comm,0.6002085351364193,0.6051339100909864,0.6043533678128017,0.6312376864696739
4,Law 7565/1986 - Brazilian Aeronautical Code,"The responsible party that pays the indemnity is exonerated in relation to those who receive it (articles 253 and 281, sole paragraph). Sole paragraph. The discussion between the one who paid and the others responsible for the payment is reserved.",None,None,the respons parti that pay the indemn is exoner in relat to those who receiv it articl and sole paragraph sole paragraph the discus between the one who paid and the other respons for the payment is reserv,0.7109016324178777,0.7064930301575993,0.7003261307127103,0.7246891342679022
5,Law 14133/2021 - New General Procurement Act,"At the discretion of the procurement authority, a performance guarantee (cash bond, insurance or bank guarantee) may be required for the procurement of works, services and supplies (when provided for in the public notice).",A,A,at the discret of the procur author a perform guarante cash bond insur or bank guarante may be requir for the procur of work servic and suppli when provid for in the public notic,0.7595497897076819,0.7204677511223813,0.7107718077824537,0.7057005427509124
6,Law 5862/1972 - Infraero,"The constitutive acts will be preceded by the following providences, under the responsibility of a commission specially designated by the Minister of Aeronautics: I - Enrollment of the assets, rights and shares referred to in the previous article;
II - valuation of the assets, rights, and shares listed;
III - elaboration of the Statutes project;
IV - Plan for gradual absorption of charges;
V - proposal of all other measures necessary for the operation of the company.",None,None,the constitut act will be preced by the follow provid under the respons of a commiss special design by the minist of aeronaut i enrol of the asset right and share refer to in the previou articl ii valuat of the asset right and share list iii elabor of the statut project iv plan for gradual absorpt of charg v propos of all other measur necessari for the oper of the compani,0.7424303357422872,0.7132959320677899,0.7180061742902348,0.6412877854614393
7,Resolution 302/2014 by National Civil Aviation  Agency - Airport Area,"3, item I, of this Resolution by the proportion between the number of passengers handled by the company at the airport and the total number of passengers handled at the airport by all companies, in the period of 6 (six) months prior to the request of the area for exclusive use; III - limit the allocation of areas for exclusive use, specified in art.",None,None,item i of thi resolut by the proport between the number of passeng handl by the compani at the airport and the total number of passeng handl at the airport by all compani in the period of six month prior to the request of the area for exclus use iii limit the alloc of area for exclus use specifi in art,0.6692395983365554,0.6711681484312578,0.6369742751494915,0.6520703110353943
8,Law 7565/1986 - Brazilian Aeronautical Code,"The lessor is obligated I - to deliver to the lessee the aircraft or the engine, at the agreed time and place, with the necessary documentation for the flight, in conditions to serve the use for which one or the other is intended, and to keep them in that condition, for the duration of the contract, unless otherwise expressly agreed; II - to guarantee, for the duration of the contract, the peaceful use of the aircraft or engine.",None,None,the lessor is oblig i to deliv to the lesse the aircraft or the engin at the agre time and place with the necessari document for the flight in condit to serv the use for which one or the other is intend and to keep them in that condit for the durat of the contract unless otherwis expressli agre ii to guarante for the durat of the contract the peac use of the aircraft or engin,0.7588533269973392,0.7480005741617946,0.7376419775526055,0.7485348372418454
9,Regulation (RBAC) 141/2019 by National Civil Aviation Agency – Civil aviation schools,The requirements vary according to the course the school intend to provide.,A,A,the requir vari accord to the cours the school intend to provid,0.7384222152496996,0.6845725664026348,0.6907331832556003,0.6536797023262082
