,name,text_clean,Category_New,x,y
0,Resolution 153/2010 by National Civil Aviation  Agency,if ani compet bodi on the matter impos modif of the airport master plan pdir the oper must request a new approv from anac,A,6.0946326,10.490707
1,Resolution 153/2010 by National Civil Aviation  Agency,if ani compet bodi on the matter impos modif of the airport master plan pdir the oper must request a new approv from anac,Others,6.011635,10.496832
2,Ministerial Ordinance 93/2020 by Ministry of Infrastructure - Contracts,the nation civil aviat secretari must authoris lea of airport area whose term is longer than the airport concess period,A,8.89186,9.537116
3,Ministerial Ordinance 93/2020 by Ministry of Infrastructure - Contracts,the commerci contract which involv the use of space in the airport and goe beyond the period of the airport concess must meet the follow requir i provis of contractu subrog to the futur oper after the termin of the current concess ii the project must be econom unfeas in the period of the remain term of the concess iii the weight cost of capit for the project must be equal or le than that of the concess margin cash flow iv period remuner in equal or increas instal v the penalti for the termin must be decreas over the term of contract and the correspond indemn must correspond to the invest that had not yet been amort vi the duti of the subrog parti must be the same of the former concessionair vii the contractor may not be award an exclus after the term of the current concess viii relat parti to the concessionair must not be a parti of the contract ix the period between the termin of the airport concess and the termin of the commerci contract must be a equal to or le than year if the remain term of the concess is greater than year or b equal to or le than half of the term of the commerci contract if the remain term of the concess is equal or le than year,A,8.726784,9.29239
4,Ministerial Ordinance 93/2020 by Ministry of Infrastructure - Contracts,the nation civil aviat secretari may authoris commerci contract with even longer term than those state in art item ix if they are relat to the exploit of oper activ that can onli be perform at the airport,A,4.340177,10.575076
5,Ministerial Ordinance 93/2020 by Ministry of Infrastructure - Contracts,the nation civil aviat secretari may authoris commerci contract with even longer term than those state in art item ix if they are relat to the exploit of oper activ that can onli be perform at the airport,A,4.3494596,10.562022
6,Ministerial Ordinance 93/2020 by Ministry of Infrastructure - Contracts,case not allow the mainten of commerci concess contract in case of earli termin of the airport concess i late payment of the concess fee by the concessionair ii ongo termin proceed due to a breach by the concessionair and iii the concessionair is under judici recoveri or have request a rebid proceed “ relicitação ”,B,7.469009,10.0183735
7,Ministerial Ordinance 93/2020 by Ministry of Infrastructure - Contracts,to maintain the concess commerci contract in case of earli termin of the airport concess the contract must meet the follow requir i period remuner in equal or increas instal ii the penalti for the termin must be decreas over the term of contract iii the duti of the subrog parti must be the same of the former concessionair iv relat parti to the concessionair must not be a parti of the contract v minimum invest valu vari accord to the size of the airport,A,8.5019245,9.570622
8,Decree Law  270/1967 - Air Fund,there will be a public tender for lea airport area for provis of servic to the gener public of the airport,A,5.392079,8.329837
9,INFRAERO's Internal Bidding and Contract Regulation,in procur of good specif brand may be indic for technic reason in the follow case i due to the need to standard the object ii when a certain brand or model market by more than one supplier is the onli one capabl of meet infraero ’ s need iii when the descript of the object to be tender can be better understood by the identif of a certain brand or certain model onli a a refer,A,9.49959,11.258462
