,Text,Label_Text,Name,Score,Label
0,"The commander of an aircraft that receives an order to land from a flight controller organ must go, immediately, to the aerodrome indicated to him and land there. If technical reasons, at the commander's discretion, prevent doing so at the indicated aerodrome, the controlling agency must be requested to determine an alternate aerodrome that offers better safety conditions.",when govern deregul introduc market previous exist consum ask choos product may never purchas one exampl may occur consum purchas electr when consum abl select supplier new market difficult evalu offer distinguish good compani bad one when inform lack ⊜new⊝ product reform risk roll back due consum complaint compani take advantag,D3,-0.037716284,None
1,"The commander of an aircraft that receives an order to land from a flight controller organ must go, immediately, to the aerodrome indicated to him and land there. If technical reasons, at the commander's discretion, prevent doing so at the indicated aerodrome, the controlling agency must be requested to determine an alternate aerodrome that offers better safety conditions.",regul make consum le will switch supplier affect `` switch cost `` explicit implicit cost born consum chang one supplier anoth switch cost may aris variou reason includ long contract term tie assest supplier way make switch inconveni tie phone number given servic provid when consum face high switch cost supplier charg higher price good servic sometim promot polici ensur high switch cost,D2,-0.03791599,None
2,"The commander of an aircraft that receives an order to land from a flight controller organ must go, immediately, to the aerodrome indicated to him and land there. If technical reasons, at the commander's discretion, prevent doing so at the indicated aerodrome, the controlling agency must be requested to determine an alternate aerodrome that offers better safety conditions.",regul sometim limit choic avail consum for exampl regul may restrict custom utilis medic servic local such regul could limit qualiti care prevent consum would prefer go afield exampl clinic shorter wait list better reput place limit consum choic harm design supplier le incent deliv product desir qualiti price,D1,-0.06563457,None
3,"The commander of an aircraft that receives an order to land from a flight controller organ must go, immediately, to the aerodrome indicated to him and land there. If technical reasons, at the commander's discretion, prevent doing so at the indicated aerodrome, the controlling agency must be requested to determine an alternate aerodrome that offers better safety conditions.",in mani countri particular supplier econom sector benefit exempt gener competit law subject sector-specif competit law in case restrict anti- competit conduct exist where substanti derog gener applic competit law exist clear risk cartel price abus anti-competit merger,C3,-0.04852345,None
4,"The commander of an aircraft that receives an order to land from a flight controller organ must go, immediately, to the aerodrome indicated to him and land there. If technical reasons, at the commander's discretion, prevent doing so at the indicated aerodrome, the controlling agency must be requested to determine an alternate aerodrome that offers better safety conditions.",regul requir market particip publish inform price output level significantli contribut format cartel key requir cartel oper particip effect monitor competitors⊙ co-conspir market behaviour cartel tacit co-ordin like aris fewer particip market entri barrier high suppliers⊙ product rel homogen inform avail soon price output chang occur regul may adopt requir public inform price output level improv consum inform sometim improv effici market howev cartel format like requir like net neg impact other option exist requir publish collect data,C2,-0.045592207,None
5,"The commander of an aircraft that receives an order to land from a flight controller organ must go, immediately, to the aerodrome indicated to him and land there. If technical reasons, at the commander's discretion, prevent doing so at the indicated aerodrome, the controlling agency must be requested to determine an alternate aerodrome that offers better safety conditions.",when industri profession associ take full respons regul conduct member without govern legisl back often urg govern term ⊜self-regulation⊝ use howev govern provid legisl back rule develop least partli industry/profession associ term ⊜co-regulation⊝ use self-regulatori co-regulatori structur yield substanti benefit ensur technic standard appropri standard advanc technolog howev structur signific anti-competit impact in particular industry/profession associ often adopt rule reduc incent opportun vigor competit supplier good servic advertis restrict rule prevent discount in addit unduli strict qualif requir may reduc market entri,C1,-0.07686694,None
6,"The commander of an aircraft that receives an order to land from a flight controller organ must go, immediately, to the aerodrome indicated to him and land there. If technical reasons, at the commander's discretion, prevent doing so at the indicated aerodrome, the controlling agency must be requested to determine an alternate aerodrome that offers better safety conditions.",regul affect supplier behaviour chang abil compet also chang incent act vigor rival the main reason supplier may compet le vigor due regul may facilit co-ordin reduc willing abil incent custom switch differ supplier other reason includ profit market share limit restrict potenti reward compet cartel-lik behaviour may readili gener self-regulatori co-regulatori regim increas share supplier output price inform exclud industri sector reach competit law cartel harm restrict output rais price make consum wors the risk cartel activ must balanc potenti benefit self-regul quicker certif new technolog,C,-0.0326268,None
7,"The commander of an aircraft that receives an order to land from a flight controller organ must go, immediately, to the aerodrome indicated to him and land there. If technical reasons, at the commander's discretion, prevent doing so at the indicated aerodrome, the controlling agency must be requested to determine an alternate aerodrome that offers better safety conditions.",at time regul effect rais cost supplier rel other one sourc cost asymmetri due regul unnecessarili requir use one technolog product anoth anoth sourc grandfath claus exempt current supplier regul appli new entrant subsidi preferenti financ state-own prefer enterpris also sourc imposit regul design tradit supplier digit technolog power busi may increas cost such arrang substanti potenti distort competit relat within industri influenc cost supplier greater extent other thi creat ineffici imped entri reduc corporate- led innov lower intens competit pressur market while creat cost differenti harm mean regul alway seek uniform supplier cost regul requir registr practic particular profess includ grandfath claus allow extens experi within profess regist even train qualif necessari new applic regist in relat product technolog grandfath claus often implement ensur adequ time exist amortis sunk cost previou invest car,B4,-0.0570785,None
8,"The commander of an aircraft that receives an order to land from a flight controller organ must go, immediately, to the aerodrome indicated to him and land there. If technical reasons, at the commander's discretion, prevent doing so at the indicated aerodrome, the controlling agency must be requested to determine an alternate aerodrome that offers better safety conditions.",regul set standard often provid benefit consum help promot new type product ensur new product differ supplier compat but standard set also provid undu advantag supplier other one common exampl environment regul limit allow emiss mildli toxic substanc while limit emiss often appropri protect public health regul design way unfairli advantag small number supplier instanc requir particular technolog set unduli strict standard difficult imposs le well- resourc produc meet anoth exampl standard-set asignific anti-competit impact minimum qualiti standard set particular product type there often sound object underli standard-set consum protect risk associ use product howev consum prefer lower cost increas safeti need standard le clear consum welfar reduc standard consum prevent buy cheaper lower qualiti good might prefer even fulli inform associ risk,B3,-0.054297764,None
9,"The commander of an aircraft that receives an order to land from a flight controller organ must go, immediately, to the aerodrome indicated to him and land there. If technical reasons, at the commander's discretion, prevent doing so at the indicated aerodrome, the controlling agency must be requested to determine an alternate aerodrome that offers better safety conditions.",regul restrict supplier 's abil advertis market good servic often exist limit fals mislead advertis sometim restrict intend reduc advertis product servic deem social neg valu subject excess consumpt at time advertis certain vulner group child may restrict restrict natur circumscrib ensur overli broad signific social benefit in mani case howev advertis market restrict broad unduli restrict competit restrict advertis market like particularli oner potenti entrant restrict entrant⊙ abil inform potenti custom presenc market natur qualiti good servic abl offer,B2,-0.06374558,None
10,"The commander of an aircraft that receives an order to land from a flight controller organ must go, immediately, to the aerodrome indicated to him and land there. If technical reasons, at the commander's discretion, prevent doing so at the indicated aerodrome, the controlling agency must be requested to determine an alternate aerodrome that offers better safety conditions.",govern often regul price tradit monopoli sector util these type price control probabl help consum serv counterweight lack consum altern howev price control also sometim appli situat mani potenti supplier consum when minimum price set low-cost supplier provid better valu consum prevent win market share similarli maximum price set supplier incent innov provid new and/or high-qual product substanti reduc supplier may effect co-ordin price around maximum price minimum price regul sometim respons extrem vigor price competit in case minimum price regul gener seen mean protect small supplier ⊜unfair⊝ competit the impact price regul merit care evalu result like higher price consum unmet demand maximum price regul frequent introduc necessari corollari entri restrict an altern permit freer entri market,B1,-0.07983261,None
11,"The commander of an aircraft that receives an order to land from a flight controller organ must go, immediately, to the aerodrome indicated to him and land there. If technical reasons, at the commander's discretion, prevent doing so at the indicated aerodrome, the controlling agency must be requested to determine an alternate aerodrome that offers better safety conditions.",regul affect supplier 's abil compet varieti way includ advertis market restrict standard set product servic qualiti price control good servic these limit reduc intens dimens rivalri yield higher price consum le product varieti,B,-0.032915298,None
12,"The commander of an aircraft that receives an order to land from a flight controller organ must go, immediately, to the aerodrome indicated to him and land there. If technical reasons, at the commander's discretion, prevent doing so at the indicated aerodrome, the controlling agency must be requested to determine an alternate aerodrome that offers better safety conditions.",regul sometim limit flow good servic capit and/or labour across jurisdict boundari often instrument region polici such limit howev artifici reduc geograph area competit provis good servic thi may reduc number supplier potenti allow supplier exercis market power increas price potenti restrict ass follow question is clear link restrict achiev specif polici goal are restrict minimum necessari achiev goal doe reason analysi suggest polici goal achiev mean restrict are restrict limit finit time span explicit regulatori provis there substanti risk ⊜temporary⊝ protect develop quasi-perman arrang result substanti lobbi supplier benefit restrict,A5,-0.071358204,None
13,"The commander of an aircraft that receives an order to land from a flight controller organ must go, immediately, to the aerodrome indicated to him and land there. If technical reasons, at the commander's discretion, prevent doing so at the indicated aerodrome, the controlling agency must be requested to determine an alternate aerodrome that offers better safety conditions.",regul rais cost entri exit market tend discourag potenti entrant thu reduc number particip market time exampl type regul includ rigor product test requir unnecessarili high educ technic qualif met in case digit economi physic presenc minimum scale inspect rule unduli obstruct entri govern sometim act minimis neg competit impact provis provid target exempt for exampl low-volum car manufactur often exempt aspect vehicl test regul subject le oner test protocol to enabl better inform consum choic altern provid inform product disclosur requir could consid in case regul may requir even though could rais entri cost the focu minimis anti-competit potenti ensur,A4,-0.059517175,None
14,"The commander of an aircraft that receives an order to land from a flight controller organ must go, immediately, to the aerodrome indicated to him and land there. If technical reasons, at the commander's discretion, prevent doing so at the indicated aerodrome, the controlling agency must be requested to determine an alternate aerodrome that offers better safety conditions.",govern limit abil certain supplier particip busi activ for exampl govern requir real estat broker provid government-mand set servic limit prohibit low-cost minimum-servic broker fee-for-servic broker provid servic such restrict often excess unduli restrict number supplier reduc competit supplier result higher price le desir contract term custom,A3,-0.08351162,None
15,"The commander of an aircraft that receives an order to land from a flight controller organ must go, immediately, to the aerodrome indicated to him and land there. If technical reasons, at the commander's discretion, prevent doing so at the indicated aerodrome, the controlling agency must be requested to determine an alternate aerodrome that offers better safety conditions.",licens permit requir oper necessarili restrict entri qualif requir take form minimum standard formal educ and/or experi may includ good charact requir for exampl financ industri particip offici capac compani board level permit so-cal ⊜fit-and-proper⊝ test often requir in industri potenti entrant sometim requir take test demonstr need addit servic provid case show entri would neg impact exist industri busi in extrem case may fix number license licens permit requir often stricter need consum protect reduc consum choic unnecessarili creat artifici scarciti rais price while licens scheme often well- found consum protect object barrier frequent effect protect incumb produc competit care need taken licens permit requir becom oner necessari achiev desir regulatori object,A2,-0.06470139,None
